keys,en,zh,cmn
STORY_100_29,No one will dare to hire you then,到時候沒人敢請你,到时候没人敢请你
STORY_100_30,See how you still live,你看你還怎麼生活,你看你还怎么生活
STORY_100_31,I figured it out,我想清楚了,我想清楚了
STORY_100_32,"Anyway, I'm just here to help you defraud other people's money.",反正在這裏不過是幫你騙別人的錢,反正在这里不过是帮你骗别人的钱
STORY_100_33,Then why don't I grab it myself?,那我為啥不親自搶呢,那我为啥不亲自抢呢
STORY_100_34,I bought all the kitchen knives,我菜刀都買好了,我菜刀都买好了
STORY_100_35,I just sharpened the knife in the company toilet,剛剛就在公司廁所磨好刀,刚刚就在公司厕所磨好刀
STORY_100_36,If any of you want to stop me,如果你們誰想阻我,如果你们谁想阻我
STORY_100_37,Just prepare a kitchen knife,就備好菜刀,就备好菜刀
STORY_100_38,Come find me on the street!,到街上找我吧！,到街上找我吧
STORY_200_0,(footsteps),腳步聲,脚步声
STORY_200_1,"Hey, did I fall asleep again?",欸，我又睡著了嗎,欸，我又睡着了吗
STORY_200_2,Freud believed that dreams are manifestations of inner desires,佛洛伊德認為夢是内心欲望的體現,弗洛伊德认为梦是内心欲望的体现
STORY_200_3,It seems that I really don’t want to go to work.,看來我真的很不想上班啊,看来我真的很不想上班啊
STORY_200_4,"However, it is always not feasible to steal money by killing people.",不過透過砍人搶錢始終不太可行,不过透过砍人抢钱始终不太可行
STORY_200_5,"First, it is illegal to kill someone",第一砍人是違法的,第一砍人是违法的
STORY_200_6,The legal liability will only be higher than the money stolen.,法律責任比起搶到的錢只會更高,法律责任比起抢到的钱只会更高
STORY_200_7,"Second, with my physique",第二，以我的體質,第二，以我的体质
STORY_200_8,There is no way I can kill so many people.,根本沒能力砍過那麼多人,根本没能力砍过那么多人
STORY_200_9,"Third, I am not a cruel person",第三，我並非殘暴的人,第三，我并非残暴的人
STORY_200_10,Hurting so many people,傷害那麼多人,伤害那么多人
STORY_200_11,My conscience won't feel good either,我良心也不會好受,我良心也不会好受
STORY_200_12,Based on the above reasons,基於以上原因,基于以上原因
STORY_200_13,I'd better think of other ways to make money.,我還是想其他方法賺錢吧,我还是想其他方法赚钱吧
STORY_200_14,What else can be done?,還有甚麼辦法呢,还有什么办法呢
STORY_200_15,"Hey, what is this advertisement?",欸，這廣告是？,欸，这广告是？
STORY_200_16,(Online casino),（線上賭場）,（线上赌场）
MINIGAMES,Mini Games,小遊戲,小游戏
PONG,Pong,乓,乓
RECORD,Highest Score,最高分,最高分
NEW_RECORD,New Record!,破紀錄了！,破纪录了！
PLAY_AGAIN,Play Again,再來一遍,再来一遍
START_AT,Start At,從這裏開始,从这里开始
DODGEBALL,Dodgeball,閃避球,闪避球
COMING_SOON,Coming Soon,敬請期待,敬请期待
SNAKE,Snake,貪食蛇打飛機,贪吃蛇打飞机
UNLOCK_SNAKE,Get 200 points in the last game to unlock this level,在上一關裏獲得200分以解鎖,在上一关里获得200分以解锁
DELETE_ACC,Press 3 Times to DELETE Your Account,按3次以刪除賬號,按3次以删除账号
UNLOCK_DODGEBALL,Get 40 points in Pong to unlock this level,在上一關裏過得40分以解鎖,在上一关里获得40分以解锁
MINIGAME_PTS,Mini Game Points,小遊戲分數,小游戏分数
